employee_id,fullname,years_of_service_months,latest_rating,performance_group,grade,education,major,position,department,disc,mbti,iq,gtq,gdr_score_avg,cex_score_avg,ids_score_avg,qdd_score_avg,sto_score_avg,sea_score_avg,vcu_score_avg,lie_score_avg,ftc_score_avg,csi_score_avg,top_5_strengths,papi_n_score,papi_l_score,papi_p_score,papi_a_score
EMP100590,Putri Rachman Hartanto,59,1,Standard Performer,IV,S1,Economics,Sales Supervisor,Marketing,ID,INTJ,null,null,2,1.8,2.2,2,2.5,2,1.75,2.75,3.5,2.25,"Context, , , Discipline, Harmony",6,null,9,4
EMP100591,Kurnia Ginting,52,5,High Performer,IV,S1,Engineering,Sales Supervisor,IT,SI,ENFJ,86,28,3,3.25,2.6,3.6,3.5,3.5,3.8,3.6,3.25,3.8,"Activator, Discipline, Focus, Context, Self-Assurance",4,9,9,3
EMP100593,Hadi Santoso,12,3,Standard Performer,III,SMA,Engineering,Brand Executive,HR,ID,ISFP,139,28,1.5,2.25,2.33333333333333,2.66666666666667,2,2,2.5,1.33333333333333,2.25,2,"Individualization, Adaptability, Positivity, Ideation, Connectedness",null,4,4,9
EMP100594,Teguh Sinaga,73,2,Standard Performer,III,D3,Economics,HRBP,HR,DI,ESFP,134,41,1.8,1.4,1.6,1.5,1.8,1.6,1.6,2,1.4,2,"Relator, Self-Assurance, Input, , Woo",4,6,2,null
EMP100595,Lestari Saputra,84,2,Standard Performer,V,D3,Statistics,Data Analyst,Marketing,SI,ESTJ,null,null,3,3.25,2.75,2.75,3.6,3.5,2.5,3,3,2.8,"Harmony, Analytical, Includer, Adaptability, Empathy",8,null,5,4
EMP100596,Dimas Aji Hidayat,50,2,Standard Performer,V,S2,Engineering,Supply Planner,Marketing,null,null,null,null,2.6,2.4,2.33333333333333,22,3,3,2.75,2.4,3,3,"Positivity, Focus, , Activator, Arranger",2,4,null,9
EMP100597,Fajar Maulana,58,4,Standard Performer,III,S2,Design,Brand Executive,R&D,IS,INTJ,97,27,3.2,3.75,3.2,3.4,3.75,3.5,3,3.6,3.25,3.5,"Activator, Strategic, Competition, Arranger, Harmony",3,9,null,7
EMP100598,Adit Aji Tamba,39,3,Standard Performer,III,S1,Statistics,Supply Planner,Operations,null,null,124,24,2.5,2.8,2.25,2.8,3,2.5,2.2,2.25,3,2.33333333333333,"Significance, Restorative, Analytical, Maximizer, Consistency",3,3,2,1
EMP100599,Dimas Kurniawan,16,1,Standard Performer,V,SMA,Business,Data Analyst,HR,CD,INFP,81,23,2,2,2.5,1.75,1.75,2,2.25,2.25,2.25,2.25,"Analytical, Self-Assurance, Relator, , Achiever",8,3,4,7
EMP100600,Zaki Wijaya,12,1,Standard Performer,V,SMA,Psychology,HRBP,HR,SI,ISTJ,137,18,2.5,2.66666666666667,2.25,2.5,2.66666666666667,2.5,2.75,2.75,2.25,3,"Intellection, Communication, Focus, Positivity, Restorative",2,4,1,3
EMP100601,Nurlita Subekti,70,3,Standard Performer,IV,S1,Design,Finance Officer,HR,CD,ISFP,123,23,3.2,3.5,2.8,3.6,2.6,2.8,4,3.2,3.6,3.5,"Connectedness, Adaptability, Discipline, Analytical, Woo",9,7,7,4
EMP100602,Rifqi Ananda,53,1,Standard Performer,IV,D3,Business,Brand Executive,HR,DS,ESTP,null,33,2.6,2,2.4,2.2,2.2,2.2,2.33333333333333,2.5,2.8,2.5,"Positivity, Competition, Responsibility, Empathy, Belief",2,6,9,8
EMP100603,Ahmad Handayani,71,4,Standard Performer,V,SMA,Design,Supply Planner,Finance,CS,ISTJ,107,22,2.8,2.8,3,1.66666666666667,2.4,2,2.8,2.5,2.8,3.2,"Belief, Futuristic, Adaptability, Positivity, Woo",4,5,3,4
EMP100604,Yoga Lukman,1,2,Standard Performer,III,S2,Psychology,HRBP,Marketing,CS,ISTP,null,null,3.75,4,3,3.5,4,3.66666666666667,4,3.66666666666667,5,4,"Context, Communication, Connectedness, Significance, Discipline",7,null,null,8
EMP100605,Dwi Anggara,73,5,High Performer,V,S2,Economics,Brand Executive,Marketing,ID,ISTP,null,null,4,4,4.5,4.4,4.75,4,4.6,4,4.2,4,"Connectedness, Positivity, Developer, Activator, Strategic",5,6,8,2
EMP100606,Wulan Candra Saputra,52,3,Standard Performer,III,S1,Economics,Brand Executive,R&D,CD,ENFJ,97,28,3.6,3.5,3.5,3.66666666666667,3.6,3.6,3.2,4.25,3.4,3.8,"Empathy, Positivity, Input, Achiever, Harmony",3,5,3,7
EMP100607,Rifqi Halim,77,1,Standard Performer,V,D3,Statistics,Sales Supervisor,R&D,null,ENTP,82,26,3.25,2.6,2.2,2.75,2.5,2.5,2.4,2.6,2.4,2.25,"Consistency, Communication, Activator, Learner, Ideation",7,2,3,1
EMP100608,Rani Kurniawan,17,5,High Performer,V,SMA,Design,Supply Planner,R&D,DS,ENTJ,null,19,4.5,4.25,4.25,4.25,4,4.33333333333333,4.75,4,4.25,4,"Empathy, Futuristic, Communication, Input, Context",null,2,4,6
EMP100609,Oktavia Nabila Ginting,45,4,Standard Performer,V,S2,Psychology,Supply Planner,IT,null,ENFP,114,26,3.75,3.2,3.25,3.6,3.25,3.4,3.75,3.5,4,3.8,"Self-Assurance, Input, Discipline, Woo, Futuristic",2,8,8,2
EMP100610,Hana Rohman,71,3,Standard Performer,V,S2,Engineering,Brand Executive,Operations,ID,ISFJ,94,28,2.75,3,2.6,3.4,3,2.75,3.4,3,3,3.4,"Woo, Responsibility, Individualization, Intellection, Restorative",3,5,5,8
EMP100611,Indra Sinaga,83,4,Standard Performer,III,D3,Statistics,Supply Planner,Finance,IC,null,114,26,3.5,3.4,2.6,3.2,3.25,3.2,2.25,3.25,3,2.8,"Maximizer, , Achiever, Deliberative, Ideation",3,5,9,8
EMP100612,Adit Utami,87,3,Standard Performer,V,S1,Business,Sales Supervisor,Finance,CI,ESFP,115,12,2.5,2.2,2.4,2.4,3,2.4,2.8,2.6,3,2.5,"Input, Competition, Arranger, Significance, Learner",2,6,7,8
EMP100613,Cahyo Nabila Situmorang,24,4,Standard Performer,IV,S1,Statistics,Supply Planner,Finance,IC,ESTP,114,20,3.66666666666667,3.6,4,3.66666666666667,3,3.6,3.2,3.4,3.2,3.4,"Developer, Focus, Responsibility, Restorative, Connectedness",8,9,8,5
EMP100614,Cahyo Pratama,25,1,Standard Performer,IV,S1,Business,Finance Officer,Finance,null,ESFP,133,28,3,3.2,2.8,3.2,2.8,3.2,2.8,3,3.4,2.75,"Self-Assurance, Command, Analytical, , Context",7,9,3,null
EMP100615,Ahmad Halim Nugroho,86,5,High Performer,III,SMA,Business,HRBP,Operations,SI,ISTP,139,29,3.6,4.6,4.4,4.2,4,4,4.4,3.6,3.5,3.6,"Belief, Adaptability, Context, Individualization, Developer",2,5,null,3
EMP100617,Eko Rahmawati,32,3,Standard Performer,V,SMA,Psychology,Brand Executive,Finance,DC,ENFJ,104,29,2.6,3,2.4,2.6,2.4,2.8,2.4,2.8,2.6,2.6,"Woo, Competition, Intellection, Connectedness, Command",8,9,4,8
EMP100618,Arif Ramadhan,81,4,Standard Performer,III,D3,Economics,Data Analyst,Finance,null,ISTJ,140,34,2.8,2.5,3,3,2.8,3,3.5,3.2,3.6,2.8,"Communication, Restorative, Significance, Harmony, Competition",3,5,8,6
EMP100619,Adi Candra Firmansyah,49,2,Standard Performer,IV,SMA,Business,Brand Executive,HR,SC,ISTJ,114,21,3.2,2.25,3.25,3.2,3,3,2.6,2.6,3.4,3,"Communication, Relator, Harmony, Adaptability, Belief",1,4,5,1
EMP100620,Oka Kusuma,76,3,Standard Performer,IV,SMA,Economics,Finance Officer,Operations,CI,ENTP,119,38,2.8,2.75,2.8,3.2,2.6,2.8,2.4,3.2,3.2,2.4,"Futuristic, Intellection, Competition, , Learner",null,6,3,6
EMP100621,Zahra Fauziah,77,3,Standard Performer,III,SMA,Psychology,Supply Planner,Finance,CS,ENFP,87,23,3,2.2,2.4,2.4,2.8,2.33333333333333,2.6,2.25,2,2.33333333333333,"Belief, , Arranger, Futuristic, Significance",7,4,8,null
EMP100622,Ahmad Anugrah Anggara,20,2,Standard Performer,III,D3,Business,Data Analyst,Operations,null,ENTP,90,24,1.75,2.25,2,2.5,2.33333333333333,2.5,2.25,2,2.5,2.25,"Developer, Competition, Responsibility, Restorative, Consistency",6,2,1,4
EMP100623,Hadi Simanjuntak,53,2,Standard Performer,V,D3,Design,Finance Officer,IT,SC,ENTJ,82,32,2.6,2.4,3,2.6,2,1.8,2.66666666666667,2.8,3,2.6,"Adaptability, Self-Assurance, Analytical, Input, Woo",7,1,7,2
EMP100624,Luthfi Firmansyah,38,2,Standard Performer,V,D3,Engineering,HRBP,R&D,CI,ENTJ,95,33,3.25,3,3.33333333333333,2.8,3.4,3,3.8,2.8,2.8,2.8,"Arranger, Empathy, Belief, Woo, Strategic",2,3,5,4
EMP100625,Dwi Utami,83,2,Standard Performer,V,S2,Economics,HRBP,HR,DI,ENTJ,132,30,3.4,2.8,3.2,2.5,3.5,3.4,3.4,2.75,3.4,3,"Restorative, Includer, Belief, Maximizer, Communication",7,2,2,5
EMP100626,Arif Nugroho,8,1,Standard Performer,V,S1,Statistics,HRBP,HR,DI,ISFJ,81,32,2,2,2,2.33333333333333,2.25,2,2,2,1.66666666666667,2,"Includer, Relator, Significance, Consistency, Developer",7,6,6,null
EMP100627,Hadi Handayani,19,3,Standard Performer,IV,S2,Design,Supply Planner,Operations,SC,INTP,106,26,2.75,2.5,2.5,3,2.75,2.75,2.5,2.33333333333333,3,2.5,"Belief, Command, Focus, Input, Relator",null,6,3,9
EMP100628,Fitri Dharma Siregar,12,2,Standard Performer,III,S1,Business,Sales Supervisor,R&D,SC,ESTJ,84,31,3.33333333333333,2.75,3,2.75,2.75,3,2.5,3,3.25,3,"Learner, Connectedness, Strategic, Belief, Command",5,9,7,1
EMP100629,Mahendra Subekti,34,3,Standard Performer,V,S1,Business,Brand Executive,R&D,CS,ISFP,124,32,3,2.5,2.6,2.6,3,3,3,2.6,3,3,"Deliberative, Intellection, Self-Assurance, Connectedness, Restorative",1,8,null,9
EMP100630,Maya Candra Maulida,8,4,Standard Performer,V,D3,Design,Sales Supervisor,Marketing,CS,ENTP,null,null,3.25,3,2.25,3.66666666666667,3,3.5,3.5,3.75,3.5,3.25,"Maximizer, Self-Assurance, Significance, Analytical, ",null,5,1,6
EMP100631,Zahra Dharma Zulfikar,58,4,Standard Performer,IV,SMA,Statistics,HRBP,R&D,null,ENTP,119,26,3,2.8,3,2,3,2.4,2.4,2.8,3,2.25,"Self-Assurance, Futuristic, Analytical, Empathy, Context",4,5,5,1
EMP100632,Rani Pramudita Suharto,77,4,Standard Performer,IV,S2,Business,Finance Officer,Marketing,DS,ESFJ,null,null,3.25,3.6,3,3,3.8,2.66666666666667,4,3.4,3.2,3.4,"Analytical, Adaptability, , , Empathy",6,8,1,6
EMP100633,Dewi Setiawan,54,4,Standard Performer,V,SMA,Design,Sales Supervisor,IT,DC,INTP,110,20,3.25,22.6,2.6,3,2.75,4,3,2.8,2.75,3.25,"Input, Self-Assurance, Developer, Communication, Command",6,4,5,6
EMP100634,Nugroho Pratama,55,3,Standard Performer,IV,D3,Economics,Brand Executive,Operations,CD,ENTP,117,28,2.2,2.8,2.8,2.4,3.25,3,2.6,2.8,3,2.8,"Significance, Restorative, Communication, Context, Strategic",3,2,2,8
EMP100635,Umar Dharma Fauziah,19,4,Standard Performer,IV,D3,Engineering,HRBP,Operations,SD,INTP,133,17,3.25,3,3.25,2.75,2.75,3,3.75,2.75,2.75,3.66666666666667,", Belief, Intellection, Restorative, Focus",2,8,1,8
EMP100636,Rama Aji Wibowo,76,3,Standard Performer,V,D3,Statistics,Finance Officer,HR,IS,ENFJ,80,34,3.4,3,3.6,2.75,3,3.4,3,3,3,3,", Maximizer, Deliberative, Consistency, Futuristic",8,2,2,4
EMP100637,Rani Adi Simanjuntak,52,5,High Performer,V,S2,Engineering,HRBP,R&D,SI,ISTP,105,22,3.75,3.4,3,3,3.2,3.4,3.4,3.6,3.5,3.4,"Futuristic, Command, Arranger, Woo, Belief",9,6,2,6
EMP100638,Budi Yudhistira Permadi,64,4,Standard Performer,V,D3,Design,Finance Officer,Marketing,ID,ISFP,null,null,3.75,3.8,3.6,3,3.5,3.2,4.2,3.2,3.2,4,"Analytical, Futuristic, Intellection, Deliberative, Adaptability",7,null,5,4
EMP100639,Iman Pratama,54,5,High Performer,IV,S2,Business,Sales Supervisor,HR,DC,INFP,138,27,2.6,2.75,1.75,3,3.4,3,2.8,2.6,2.6,2.4,"Significance, Analytical, Connectedness, , Activator",2,1,9,6
EMP100640,Dewi Yudhistira Putra,7,3,Standard Performer,IV,D3,Economics,Sales Supervisor,Operations,DI,ESTJ,135,23,2.66666666666667,3.25,2.33333333333333,3,3.66666666666667,22,3,2.66666666666667,3,3,"Input, , Achiever, Positivity, Strategic",4,8,null,6
EMP100641,Julia Simanjuntak,70,3,Standard Performer,IV,S2,Business,HRBP,Marketing,IS,enfp,null,null,2.6,1.8,2.5,2.6,2.5,2.6,2.8,2.8,2,3.2,"Communication, Woo, Empathy, , Connectedness",6,5,null,null
EMP100642,Umar Halim Pradana,69,3,Standard Performer,III,S1,Business,Supply Planner,R&D,SC,ENFJ,106,39,4,3.5,3,3.6,3.6,3.6,3.6,3.4,4.25,3.4,"Consistency, Includer, Communication, Responsibility, Positivity",null,9,null,8
EMP100643,Dewi Yulianto,64,4,Standard Performer,III,S1,Psychology,Finance Officer,IT,ID,ISFJ,135,18,3.2,3.2,2.25,2.8,2.75,3.4,3.75,2.75,2.6,3.6,"Focus, Individualization, Input, Adaptability, ",3,null,6,9
EMP100644,Ayunda Hartanto,69,3,Standard Performer,III,SMA,Design,Finance Officer,IT,DI,ESFJ,98,36,3.25,2.6,2.8,2.5,2.6,2.6,2.2,3,2.6,2.4,"Responsibility, Woo, Discipline, Analytical, Input",7,7,1,6
EMP100645,Yoga Iqbal Santoso,26,5,High Performer,IV,SMA,Psychology,Sales Supervisor,Operations,SI,ISFP,82,37,4,4,3.75,4,4.4,4.75,3.75,3.66666666666667,4.2,4.25,"Adaptability, Developer, , Arranger, Competition",9,1,6,5
EMP100646,Oktavia Ananda,62,4,Standard Performer,III,S2,Design,Sales Supervisor,IT,DC,INFJ,126,37,4.2,4.66666666666667,4,4.4,4.6,4.25,4,4.25,4.4,4.25,"Analytical, Adaptability, Developer, Command, Belief",6,9,7,7
EMP100648,Sari Mahardika Firmansyah,72,4,Standard Performer,III,S1,Engineering,Finance Officer,Marketing,null,null,null,null,2.5,1.8,3,2.5,2.8,2.5,2.8,2.6,2.75,2.75,"Achiever, Adaptability, Arranger, Belief, Connectedness",8,3,2,6
EMP100649,Wahyu Dharma Handayani,48,5,High Performer,IV,S1,Statistics,Brand Executive,Finance,ID,ISFJ,99,26,3.8,3.4,3.25,3.5,4,3.2,4,4,3.6,4,"Analytical, Arranger, Discipline, Self-Assurance, Includer",3,1,1,6
EMP100650,Rifqi Kurniawan,23,5,High Performer,IV,S2,Economics,Data Analyst,Marketing,DI,ESTP,null,null,3.5,3.33333333333333,4,3.25,2.4,3,3.5,3.25,3.25,3,"Includer, Empathy, Focus, Analytical, Command",3,7,null,7
EMP100651,Novi Pamungkas,56,3,Standard Performer,V,SMA,Economics,Brand Executive,IT,SC,ESTP,117,28,2.66666666666667,3.6,3.4,3.6,3.6,4,3.6,3,2.75,3.25,"Ideation, Deliberative, , Responsibility, Activator",5,1,1,1
EMP100652,Eko Mahardika Lukman,58,5,High Performer,III,SMA,Engineering,Supply Planner,IT,DS,INTJ,122,22,3.25,3.6,3.4,4.33333333333333,3.8,3.75,3.6,4.2,3.6,3.5,"Consistency, Connectedness, , Self-Assurance, Input",4,2,7,5
EMP100654,Prasetyo Hidayat,29,4,Standard Performer,III,D3,Statistics,Sales Supervisor,Operations,CD,ESTP,null,15,3,3,3,2.6,2.8,2.8,3.25,3.2,2.33333333333333,3.75,"Discipline, Intellection, Individualization, Activator, Strategic",4,9,9,7
EMP100655,Novi Lestari,88,3,Standard Performer,V,S1,Design,Sales Supervisor,Marketing,null,ENFJ,null,null,3,3.25,2.8,3,3.4,3,3,3.2,2.8,3,"Restorative, Intellection, Competition, , Self-Assurance",null,1,3,1
EMP100656,Joko Herlambang,92,4,Standard Performer,III,D3,Statistics,Sales Supervisor,IT,IS,INFJ,96,22,3.25,4.2,3.2,3.6,4,3.4,3.4,3.8,3.4,3.8,"Responsibility, Arranger, Command, Deliberative, Input",6,1,9,1
EMP100657,Rendra Anugrah Maulida,76,3,Standard Performer,V,D3,Engineering,HRBP,Finance,IS,ISFJ,84,27,3.25,3.4,3.4,3,3.6,3.25,3.6,3.8,3.4,3.4,"Input, Arranger, Belief, Discipline, ",8,8,3,6
EMP100658,Nurlita Jatmiko Salsabila,149,1,Standard Performer,III,SMA,Statistics,Brand Executive,R&D,SD,ESFP,109,28,2.6,2.2,2.25,2.25,2.4,2.5,2.4,2,2,2.2,", Competition, Adaptability, Consistency, Futuristic",9,4,7,1
EMP100659,Bella Utami,26,3,Standard Performer,IV,SMA,Statistics,HRBP,HR,IC,ISFJ,133,33,3.4,3.4,3,3.2,3.4,3.2,3.2,3.6,3.4,3.4,"Strategic, Learner, Positivity, Analytical, Consistency",1,7,6,9
EMP100660,Anisa Putra,36,1,Standard Performer,IV,S1,Business,Supply Planner,R&D,ID,ENFP,126,35,3.4,3.4,3.6,3.6,3.75,3.4,3.5,3,3.6,3.5,"Harmony, Woo, Positivity, Futuristic, Consistency",null,6,3,6
EMP100661,Budi Siregar,69,4,Standard Performer,V,SMA,Statistics,Finance Officer,Operations,DC,INFP,103,20,3.5,3,2.5,3,3,4,3.6,3.2,3.6,2.6,"Empathy, Context, Deliberative, Woo, Positivity",1,9,9,7
EMP100662,Utami Pratama,67,4,Standard Performer,III,S1,Design,Brand Executive,IT,CI,ENTP,119,33,4.2,4,4,3.8,4.4,4.2,4.4,4.25,3.5,4.75,"Individualization, Futuristic, Arranger, Ideation, Restorative",8,1,null,7
EMP100663,Rifqi Jatmiko Indrawan,55,5,High Performer,III,SMA,Economics,Finance Officer,Operations,IS,ENTJ,123,32,3.2,3,2.8,3,2.4,3.5,3.2,3.6,3.2,2.4,"Responsibility, Activator, Consistency, Intellection, Individualization",1,8,3,4
EMP100664,Zaki Rachman Putra,19,3,Standard Performer,III,S1,Statistics,Sales Supervisor,HR,SD,ENFP,101,34,3.66666666666667,3,3.25,2.5,3.66666666666667,2.66666666666667,2.75,3.25,3.5,3.5,"Developer, Significance, Discipline, Includer, Intellection",4,3,8,9
EMP100665,Rendra Ridwan,42,3,Standard Performer,V,S2,Economics,Sales Supervisor,HR,DS,ESFP,102,30,3.6,3.4,3.8,3.75,3.66666666666667,3,4,3.6,3.75,3.8,"Includer, Connectedness, Individualization, Consistency, Command",2,null,null,5
EMP100666,Evi Sinaga,36,4,Standard Performer,III,S1,Business,Supply Planner,Finance,SI,ENFJ,118,24,3.25,3.2,3.4,3.25,3.4,3.75,3.6,3.25,3.2,3.2,"Context, Competition, , Input, Maximizer",6,7,8,null
EMP100667,Rifqi Handayani,109,2,Standard Performer,V,D3,Design,Sales Supervisor,R&D,IS,ISTJ,93,19,3.75,4,4,3.75,3.8,4.33333333333333,4,4,4.2,4,"Restorative, , Achiever, Woo, Communication",null,5,3,6
EMP100669,Adi Suharto,79,1,Standard Performer,III,S1,Design,HRBP,IT,DI,ESFP,96,35,3,3.2,3.4,3,2.6,3.25,3,2.8,3.2,3.2,"Discipline, Responsibility, Developer, , Input",2,1,7,null
EMP100670,Rama Tamba,70,3,Standard Performer,IV,SMA,Statistics,Finance Officer,Marketing,null,ISTP,null,null,3.25,3,2.4,3,3.5,2.4,2.6,2.75,2.5,2.8,"Focus, Woo, Includer, Developer, Competition",null,8,5,6
EMP100671,Fajar Baskara Rohman,82,2,Standard Performer,V,S1,Design,Data Analyst,HR,CI,ISTJ,111,29,3.25,2.2,2.8,2.6,2.25,3,2.5,2.6,2.8,2.66666666666667,"Input, Context, Self-Assurance, , Relator",9,null,9,1
EMP100672,Rani Ridwan,76,1,Standard Performer,V,S1,Statistics,HRBP,IT,CI,ISFJ,114,31,1.8,1.6,1,1.25,2,1.6,1.6,1.5,1.75,1.5,"Strategic, Significance, Responsibility, Futuristic, Consistency",7,5,3,6
EMP100673,Citra Siregar,18,3,Standard Performer,III,D3,Engineering,HRBP,HR,SD,INTJ,107,22,3.25,2.75,3.25,3.25,3,3.5,3.75,3.25,3,3.25,"Activator, Maximizer, Analytical, Achiever, Input",3,2,9,9
EMP100674,Valdo Handayani,31,2,Standard Performer,IV,SMA,Statistics,Supply Planner,Operations,CI,INTJ,null,26,3,3.25,2.5,3,3.2,3.25,3,3,22.2,3.75,"Intellection, Includer, Connectedness, Ideation, Learner",1,null,2,5
EMP100675,Fajar Permadi,63,1,Standard Performer,IV,SMA,Statistics,HRBP,IT,SC,ESTJ,134,25,3.5,3.2,4.25,4,3.6,3.2,3,3.5,3.4,3.6,"Maximizer, , Futuristic, Activator, Discipline",2,6,8,4
EMP100676,Rifqi Simanjuntak,54,1,Standard Performer,IV,S2,Design,Finance Officer,Operations,SD,ISFP,81,32,2.2,2.4,1.75,2.2,2,1.8,2,2,2.6,1.8,", Communication, Input, Analytical, Competition",1,null,2,3
EMP100677,Rani Halim Saputra,13,1,Standard Performer,III,SMA,Psychology,Brand Executive,IT,CD,ISFJ,135,32,2.5,2.5,2.25,2.5,3,2.75,3,3,3,2.66666666666667,", Command, Futuristic, Activator, Belief",3,4,5,7
EMP100678,Julia Jatmiko Nugroho,80,4,Standard Performer,IV,S2,Economics,Data Analyst,Marketing,DC,ENTP,null,null,4.2,3.6,3.6,3.2,4,4,3,3.6,3.5,3.4,"Communication, , Arranger, Strategic, Context",5,5,5,6
EMP100679,Gita Sinaga,39,2,Standard Performer,IV,S1,Economics,HRBP,HR,CS,ENTJ,null,31,2.2,21.6,2.6,2.8,2,2.6,2.8,2.2,2.4,2.4,", Achiever, Significance, Responsibility, Deliberative",4,3,8,3
EMP100680,Nugroho Ramadhan,47,4,Standard Performer,III,S1,Psychology,Brand Executive,Operations,SI,ESTJ,106,28,4,3.2,3,3,3.2,3.5,3,3.66666666666667,3.2,3.2,"Maximizer, Includer, Arranger, Competition, Woo",9,9,9,9
EMP100682,Tania Zulfikar,39,2,Standard Performer,IV,D3,Economics,Finance Officer,IT,CS,ESTP,null,27,3.4,3.2,4,3.25,3.2,4,3,3.4,3.4,3.5,", Activator, , , Communication",6,1,1,2
EMP100683,Rani Qolbi Nugroho,50,2,Standard Performer,IV,S2,Design,Data Analyst,R&D,CS,ESTJ,128,28,2,2.25,2.2,2.2,2.25,1.8,1.8,1.5,2,2.5,"Adaptability, Significance, Activator, Belief, ",1,2,2,8
EMP100684,Dian Rahmawati,125,5,High Performer,III,S2,Psychology,Supply Planner,Marketing,ID,ENTP,null,null,2.4,3,2.25,3,3.75,21.6,2.75,3.5,3.5,2.25,"Input, Achiever, Developer, Connectedness, ",9,5,6,7
EMP100685,Budi Wijaya Wijaya,73,3,Standard Performer,III,S1,Engineering,Supply Planner,Marketing,SC,null,null,null,4,3.66666666666667,3.6,3.75,3.8,4.25,4.2,3.6,4,3.6,"Positivity, Woo, Deliberative, Harmony, Input",2,3,7,3
EMP100686,Satya Utami,56,2,Standard Performer,III,S1,Statistics,Finance Officer,R&D,DC,ESTJ,92,22,3.4,3.25,3.6,3.25,2.75,3.5,3,3.2,3,3,"Positivity, Activator, Maximizer, Responsibility, Adaptability",3,8,5,7
EMP100687,Gita Erlangga Herlambang,36,4,Standard Performer,III,S1,Engineering,Data Analyst,Operations,SC,ISFP,92,25,3.2,2.75,2.25,3.25,3.4,2.75,3.5,3,3,3.66666666666667,"Strategic, Learner, Woo, Arranger, Achiever",3,7,4,3
EMP100688,Adit Iqbal Kurniawan,40,4,Standard Performer,V,D3,Economics,HRBP,Finance,SD,ESTJ,131,41,3.2,3,2.6,2.8,2.8,3,3.2,2.5,3,2.8,"Maximizer, , Achiever, Context, Deliberative",3,null,9,4
EMP100689,Evi Zulfikar,10,3,Standard Performer,III,S1,Business,HRBP,Finance,CD,ESTJ,138,19,2.5,2,2,2.5,2.25,2.5,2.33333333333333,26,2,2.66666666666667,"Achiever, Relator, Woo, Responsibility, ",null,5,9,1
EMP100690,Dian Tri Zulfikar,93,3,Standard Performer,III,S2,Design,Sales Supervisor,Operations,CD,ENTJ,null,24,2.75,2.8,3.2,2.6,3,3,2.75,3,3,3,"Competition, Self-Assurance, Restorative, Harmony, Adaptability",7,null,5,1
EMP100691,Dian Utama Hasibuan,38,2,Standard Performer,IV,S1,Economics,Supply Planner,Marketing,SC,INTP,null,null,3.8,3.6,3.75,3,3.6,3.4,3,3.8,3.4,3.2,"Restorative, Empathy, Developer, Arranger, Command",6,9,3,9
EMP100692,Lestari Halim Purnama,35,2,Standard Performer,IV,S1,Statistics,Brand Executive,Operations,SI,INFP,136,32,3,2.6,1.8,2.66666666666667,2.6,2.25,2.5,2.8,2.6,3.5,"Restorative, Adaptability, Achiever, Strategic, Analytical",6,null,5,6
EMP100693,Hadi Pramudita Zulfikar,39,3,Standard Performer,IV,S1,Design,Finance Officer,HR,CS,ENFP,130,22,2.33333333333333,2.5,3.2,3,3.2,2.66666666666667,2.6,2.4,2.8,2.6,"Analytical, Activator, Context, Adaptability, Focus",1,4,6,4
EMP100694,Julia Hartanto,48,3,Standard Performer,IV,S2,Design,Brand Executive,Operations,CI,ESTP,116,43,3.6,4,3.8,2.5,3,3.33333333333333,3.8,3.6,3.4,3.5,"Positivity, Belief, Woo, Individualization, Learner",7,null,8,null
EMP100695,Joko Erlangga Subekti,4,4,Standard Performer,III,D3,Design,Data Analyst,R&D,CS,ESFJ,86,26,3,2.66666666666667,3,3.25,3.25,3.5,3.75,2.66666666666667,2.75,27,"Analytical, Woo, Futuristic, Empathy, Positivity",9,9,8,8
EMP100696,Adi Halim Ananda,80,2,Standard Performer,V,S2,Economics,Brand Executive,Marketing,IC,ISFJ,null,null,2.25,2.75,2.6,2.4,2.6,2,2.8,2.6,2.6,2.4,"Individualization, , Futuristic, Empathy, Belief",4,2,2,null
EMP100697,Teguh Zulfikar Siregar,61,1,Standard Performer,V,S2,Psychology,HRBP,Finance,DI,ESFP,134,32,3.25,2.8,3,3.6,2.4,2.4,2.8,2.4,2.75,2.6,"Strategic, Restorative, Relator, Activator, Woo",3,7,1,7
EMP100698,Hadi Permadi,18,3,Standard Performer,III,D3,Design,HRBP,Finance,IS,null,125,23,3.5,3.5,3.25,3.5,3.33333333333333,4,3.5,4.75,2.66666666666667,3.33333333333333,", Belief, Futuristic, Input, Consistency",5,8,7,2
EMP100699,Kartika Rachman Suharto,15,3,Standard Performer,IV,S2,Design,Finance Officer,R&D,IC,INFJ,123,32,4,2.33333333333333,2.75,3.5,3,3,2.5,3.5,3.25,3,"Positivity, Belief, Ideation, Competition, Empathy",3,3,6,5
EMP100700,Nugroho Ananda,51,3,Standard Performer,III,S1,Business,Supply Planner,Finance,CD,ENFP,94,15,3.75,3,3.4,3.2,3.4,3.8,3.6,3.4,3.2,3.2,"Futuristic, , Belief, Significance, Focus",1,4,8,6
EMP100701,Rani Fadillah Kusuma,86,2,Standard Performer,V,S2,Psychology,Data Analyst,HR,SC,ENFP,132,23,3.25,2.8,3,3,2.75,3,3,3.4,2.25,2.8,"Discipline, Arranger, , Communication, Significance",9,9,7,9
EMP100702,Kurnia Utami,76,2,Standard Performer,IV,SMA,Psychology,Brand Executive,HR,IC,ESFJ,80,27,3.2,2.8,3.4,3.2,3.2,3.2,3,2.75,3,3,"Restorative, Connectedness, Intellection, , Self-Assurance",1,5,6,3
